cell_type_1,cell_type_2,effect_size,p_value,mean_I_infected,mean_I_uninfected,delta_I,p_adj_fdr,significant
Bcell_B1,Bcell_memory,0.5597839984630029,0.0,0.5597839984630029,0.4144411124073567,0.14534288605564616,0.0,True
Fibroblast_stromal,Myeloid_marginalzone,0.5544570228725874,0.0,0.5544570228725874,0.3949179347558992,0.15953908811668815,0.0,True
Myeloid_Macrophage-CXCL9/10,Myeloid_marginalzone,0.5030812216274096,0.0,0.5030812216274096,0.1065906247088315,0.39649059691857813,0.0,True
CD4-Tcell_FH,CD8-Tcell_terminal,0.48515694915759977,0.0,0.48515694915759977,0.4948777095315493,-0.009720760373949533,0.0,True
Erythrocyte,Erythrocyte_precursor,0.47397695765688963,0.0,0.47397695765688963,0.5732321044765071,-0.09925514681961745,0.0,True
Fibroblast_stromal,Myeloid_Macrophage-CXCL9/10,0.469554266178002,0.0,0.469554266178002,0.21973635270714553,0.24981791347085647,0.0,True
Myeloid_cDC1,Myeloid_marginalzone,0.46121361377036996,0.0,0.46121361377036996,0.33572863121089686,0.1254849825594731,0.0,True
CD4-Tcell_FH,CD8-Tcell_naive,0.4559433571843621,0.0,0.4559433571843621,0.51455628539035,-0.05861292820598796,0.0,True
Erythrocyte_precursor,Hematopoeitic_stem_cell,0.4477688948914861,0.0,0.4477688948914861,0.5920553336113231,-0.14428643871983704,0.0,True
CD4-Tcell_cytotoxic,CD8-Tcell_effector,0.4405775712104997,0.0,0.4405775712104997,0.36190131887719457,0.07867625233330511,0.0,True
CD8-Tcell_effector,Myeloid_marginalzone,0.4384338457140424,0.0,0.4384338457140424,0.323289708576622,0.11514413713742044,0.0,True
Hematopoeitic_stem_cell,Myeloid_Macrophage-CXCL9/10,0.4339963199346647,0.0,0.4339963199346647,0.008295528685170316,0.4257007912494944,0.0,True
Erythrocyte_precursor,Myeloid_marginalzone,0.4275299521774416,0.0,0.4275299521774416,0.5356924979755843,-0.10816254579814266,0.0,True
Erythrocyte,Hematopoeitic_stem_cell,0.42075185377543134,0.0,0.42075185377543134,0.5411644731403504,-0.1204126193649191,0.0,True
CD8-Tcell_effector,NK,0.41826421794195945,0.0,0.41826421794195945,0.33764166132780227,0.08062255661415718,0.0,True
Fibroblast_stromal,NK,0.41424968176248456,0.0,0.41424968176248456,0.3146204095335199,0.09962927222896467,0.0,True
Bcell_B1,Myeloid_migratory,0.4105556388493531,0.0,0.4105556388493531,0.18293999106491052,0.22761564778444257,0.0,True
Myeloid_marginalzone,Myeloid_moDC,0.4101224403759469,0.0,0.4101224403759469,0.4550966315641244,-0.04497419118817747,0.0,True
Myeloid_Macrophage,Myeloid_marginalzone,0.40830807694290727,0.0,0.40830807694290727,0.3067432016179238,0.10156487532498348,0.0,True
CD4-Tcell_naive,CD8-Tcell_naive,0.4056987416433797,0.0,0.4056987416433797,0.534099077338114,-0.1284003356947343,0.0,True
CD8-Tcell_naive,CD8-Tcell_terminal,0.4015707401289509,0.0,0.4015707401289509,0.5027027623650878,-0.10113202223613693,0.0,True
Erythrocyte,Fibroblast_stromal,0.38626865051570713,0.0,0.38626865051570713,0.2976190636627024,0.08864958685300472,0.0,True
CD4-Tcell_FH,Myeloid_marginalzone,-0.38589690211028127,0.0,-0.38589690211028127,-0.06846913501885965,-0.3174277670914216,0.0,True
Endothelial,Myeloid_marginalzone,0.3801351810812217,0.0,0.3801351810812217,0.389542477461462,-0.009407296380240293,0.0,True
Myeloid_Macrophage-CXCL9/10,Myeloid_cDC1,0.3783425386474182,0.0,0.3783425386474182,0.19700229977009243,0.18134023887732575,0.0,True
Bcell_memory,Myeloid_marginalzone,-0.3763326756961627,0.0,-0.3763326756961627,-0.09893820461867309,-0.2773944710774896,0.0,True
CD4-Tcell_cytotoxic,CD8-Tcell_late-active,0.37493791215150984,0.0,0.37493791215150984,0.2527530944421326,0.12218481770937722,0.0,True
Endothelial,Fibroblast_stromal,0.37387525857252746,0.0,0.37387525857252746,0.2918816987126519,0.08199355985987555,0.0,True
CD8-Tcell_effector,Fibroblast_stromal,0.3711707858892904,0.0,0.3711707858892904,0.2910882746651008,0.08008251122418963,0.0,True
Erythrocyte_precursor,Myeloid_Macrophage-CXCL9/10,0.3698670443612945,0.0,0.3698670443612945,-0.00015406257336912643,0.3700211069346636,0.0,True
Hematopoeitic_stem_cell,Myeloid_migratory,-0.3652523602401274,0.0,-0.3652523602401274,-0.21335521785319433,-0.15189714238693308,0.0,True
Fibroblast_stromal,Myeloid_migratory,-0.3646253165644854,0.0,-0.3646253165644854,0.009557954281862987,-0.3741832708463484,0.0,True
Fibroblast_stromal,Myeloid_moDC,0.3578556759724223,0.0,0.3578556759724223,0.33782386417198695,0.02003181180043534,0.0,True
CD4-Tcell_naive,CD8-Tcell_early-active,0.3557862288191529,0.0,0.3557862288191529,0.525957752244902,-0.17017152342574915,0.0,True
Bcell_memory,Myeloid_moDC-CXCL9/10,0.3554434051256645,0.0,0.3554434051256645,0.24942344953001805,0.10601995559564648,0.0,True
Erythrocyte_precursor,Fibroblast_stromal,0.34924546465393114,0.0,0.34924546465393114,0.30186290097308255,0.04738256368084859,0.0,True
Bcell_B1,Myeloid_marginalzone,-0.3473688729895974,0.0,-0.3473688729895974,-0.1709463727759269,-0.1764225002136705,0.0,True
Myeloid_migratory,NK,-0.34429962530898706,0.0,-0.34429962530898706,-0.004381281122775346,-0.3399183441862117,0.0,True
Hematopoeitic_stem_cell,Myeloid_moDC,0.3371743625390413,0.0,0.3371743625390413,0.3946806257071317,-0.05750626316809038,0.0,True
Bcell_memory,Erythrocyte_precursor,-0.3330055531038608,0.0,-0.3330055531038608,-0.19624655793947587,-0.13675899516438494,0.0,True
Hematopoeitic_stem_cell,NK,0.331726237869461,0.0,0.331726237869461,0.35032850093001766,-0.01860226306055668,0.0,True
CD8-Tcell_effector,Myeloid_cDC1,0.33088935261390595,0.0,0.33088935261390595,0.22435962238253637,0.10652973023136958,0.0,True
CD8-Tcell_effector,Myeloid_monocyte,0.32993038753933923,0.0,0.32993038753933923,0.25207617532750143,0.0778542122118378,0.0,True
Myeloid_Macrophage-CXCL9/10,Myeloid_migratory,-0.32931090111844863,0.0,-0.32931090111844863,0.218291529694656,-0.5476024308131047,0.0,True
CD8-Tcell_proliferating,Myeloid_marginalzone,-0.3263966833163138,0.0,-0.3263966833163138,0.2420493395038751,-0.5684460228201889,0.0,True
CD8-Tcell_terminal,Myeloid_migratory,0.32634172387738125,0.0,0.32634172387738125,0.3866439819542069,-0.060302258076825654,0.0,True
